"filename", "language", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "TypeScript", "Prisma", "Image", "Properties", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Owner\messenger-app\app\components\sidebar\DesktopSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 3, 10, 68
"c:\Users\Owner\messenger-app\app\components\sidebar\MobileFooter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 8, 33
"c:\Users\Owner\messenger-app\app\components\sidebar\MobileItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 9, 36
"c:\Users\Owner\messenger-app\app\components\sidebar\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
"c:\Users\Owner\messenger-app\app\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\Owner\messenger-app\app\context\ToasterContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 6, 17
"c:\Users\Owner\messenger-app\app\conversations\[conversationId]\components\Body.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 14, 41
"c:\Users\Owner\messenger-app\app\conversations\[conversationId]\components\Form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 8, 68
"c:\Users\Owner\messenger-app\app\conversations\[conversationId]\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 11, 58
"c:\Users\Owner\messenger-app\app\conversations\[conversationId]\components\MessageBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 10, 72
"c:\Users\Owner\messenger-app\app\conversations\[conversationId]\components\MessageInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\Owner\messenger-app\app\conversations\[conversationId]\components\ProfileDrawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 17, 79
"c:\Users\Owner\messenger-app\app\conversations\[conversationId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 10, 42
"c:\Users\Owner\messenger-app\app\conversations\components\ConversationList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 11, 61
"c:\Users\Owner\messenger-app\app\conversations\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 3, 22
"c:\Users\Owner\messenger-app\app\conversations\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 5, 18
"c:\Users\Owner\messenger-app\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\Owner\messenger-app\app\hooks\useConversation.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 8, 25
"c:\Users\Owner\messenger-app\app\hooks\useOtherUser.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\Owner\messenger-app\app\hooks\useRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 6, 41
"c:\Users\Owner\messenger-app\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\Owner\messenger-app\app\libs\prismadb.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Owner\messenger-app\app\types\index.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Owner\messenger-app\app\users\components\UserBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 13, 51
"c:\Users\Owner\messenger-app\app\users\components\UserList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 7, 30
"c:\Users\Owner\messenger-app\app\users\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 3, 22
"c:\Users\Owner\messenger-app\app\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\Owner\messenger-app\middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Owner\messenger-app\next.config.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Owner\messenger-app\package-lock.json", "JSON", 0, 0, 0, 8627, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8628
