"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "JSON", "XML", "Prisma", "TypeScript", "Image", "Properties", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Owner\messenger-app\middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Owner\messenger-app\next.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Owner\messenger-app\package-lock.json", "JSON", 0, 0, 0, 8503, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8504
"c:\Users\Owner\messenger-app\package.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Owner\messenger-app\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Owner\messenger-app\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 2, 16, 80
"c:\Users\Owner\messenger-app\public\images\avatar.png", "Image", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\Owner\messenger-app\public\images\bg-image.jpg", "Image", 0, 0, 0, 0, 0, 0, 0, 244, 0, 0, 0, 0, 31, 275
"c:\Users\Owner\messenger-app\public\images\logo.png", "Image", 0, 0, 0, 0, 0, 0, 0, 344, 0, 0, 0, 0, 1, 345
"c:\Users\Owner\messenger-app\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Owner\messenger-app\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Owner\messenger-app\tailwind.config.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\Owner\messenger-app\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 29
"Total", "-", 29, 34, 21, 8545, 2, 62, 344, 611, 6, 773, 6, 17, 327, 10777
